Longitude,Latitude
103.84707,1.33399
103.83722,1.41744
103.90438,1.39887
103.92806,1.32653
103.90438,1.38031
103.85197,1.35995
103.95804,1.35704
103.84691,1.33402
103.85682,1.33209
103.88199,1.37169
103.79842,1.33504
103.7637,1.38042
103.8229,1.32119
103.84756,1.31062
103.79028,1.35115
103.8348,1.28132
103.9868,1.35399
103.81851,1.39777
103.95653,1.3678
103.98612,1.35349
103.85367,1.28041
103.87301,1.35107
103.85952,1.32655
103.76453,1.36953
103.93763,1.32017
103.84415,1.33699
103.66526,1.30782
103.82978,1.27711
103.84929,1.33789
103.84394,1.31818
103.8901,1.38389
103.80256,1.28515
103.95035,1.3396
103.98129,1.33887
103.98604,1.35335
103.89008,1.31651
103.9898,1.35677
103.79567,1.44025
103.93531,1.3252
103.98273,1.34029
103.77783,1.4441
103.76767,1.31234
103.78604,1.29552
103.84958,1.30698
103.89789,1.3162
103.82021,1.26492
103.74369,1.36478
103.82359,1.26544
103.81752,1.30016
103.73754,1.37824
103.74011,1.37524
103.73093,1.32606
103.809,1.27382
103.88128,1.32304
103.84577,1.33168
103.90222,1.32089
103.84331,1.28276
103.8096,1.32447
103.92913,1.32409
103.98602,1.35328
103.79263,1.30378
103.7859,1.29291
103.84031,1.42272
103.95517,1.34454
103.94586,1.34715
103.76478,1.31565
103.84335,1.27611
103.99011,1.35784
103.86068,1.36764
103.89367,1.37761
103.85081,1.29693
103.8528,1.30626
103.94698,1.35667
103.87044,1.33802
103.96812,1.35154
103.85464,1.31861
103.85746,1.29847
103.86363,1.30921
103.89269,1.39388
103.79491,1.31219
103.73928,1.35611
103.93075,1.35134
103.94239,1.35176
103.88177,1.31925
103.85391,1.3461
103.98143,1.33877
103.85782,1.29026
103.85755,1.33547
103.88546,1.29736
103.8271,1.2938
103.98499,1.35171
103.93283,1.32776
103.85969,1.34135
103.8734,1.37005
103.89267,1.33124
103.91032,1.40263
103.91984,1.30415
103.90744,1.39354
103.78932,1.30833
103.8421,1.30031
103.93809,1.3567
103.88372,1.33242
103.71618,1.34449
103.83626,1.30354
103.84916,1.33322
103.82999,1.29963
103.85363,1.27951
103.7464,1.39657
103.88967,1.37586
103.80711,1.31702
103.8547,1.30344
103.74087,1.37918
103.90293,1.30466
103.98995,1.35718
103.92669,1.32666
103.78598,1.29579
103.88687,1.37528
103.81439,1.44936
103.83266,1.43439
103.84479,1.31241
103.8292,1.3065
103.92296,1.30806
103.81006,1.30384
103.84911,1.28545
103.82547,1.25458
103.8261,1.29034
