LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,StartLon,StartLat,EndLon,EndLat
103000000,KENT ROAD,E,6,50,59,103.85298052044503,1.3170142376560023,103.85259882242372,1.3166840028663076
103000010,BUCKLEY ROAD,E,2,10,19,103.84102305136321,1.3166507852203482,103.84022564204443,1.316912438354752
103000011,BUCKLEY ROAD,E,3,20,29,103.84022564204443,1.316912438354752,103.84102305136321,1.3166507852203482
103000014,SHREWSBURY ROAD,E,4,30,39,103.84700267615683,1.3186726294030418,103.84711392225329,1.3180212058893457
103000015,SHREWSBURY ROAD,E,4,30,39,103.84711392225329,1.3180212058893457,103.84700267615683,1.3186726294030418
103000018,JALAN KORMA,E,5,40,49,103.84426743639843,1.3157770120574521,103.84479180450104,1.3159796416371992
103000019,JALAN KORMA,E,5,40,49,103.84479180450104,1.3159796416371992,103.84426743639843,1.3157770120574521
103000022,SING AVENUE,E,3,20,29,103.85346718361517,1.3157638139947652,103.8540099459191,1.3159850985084538
103000023,SING AVENUE,E,3,20,29,103.8540099459191,1.3159850985084538,103.85346718361517,1.3157638139947652
103000026,MOULMEIN RISE,E,3,20,29,103.84576595796847,1.3193495076454247,103.84649970636902,1.3193341206043803
103000027,MOULMEIN RISE,E,7,60,69,103.84649970636902,1.3193341206043803,103.84576595796847,1.3193495076454247
103000030,SINARAN DRIVE,E,4,30,39,103.84584773223746,1.3187614079491163,103.845922903644,1.3184775003743368
103000031,SINARAN DRIVE,E,3,20,29,103.845922903644,1.3184775003743368,103.84584773223746,1.3187614079491163
103000034,LEMBU ROAD,E,3,20,29,103.85444503278327,1.3095165181658415,103.85489147379481,1.3102490949407017
103000035,LEMBU ROAD,E,2,10,19,103.85489147379481,1.3102490949407017,103.85444503278327,1.3095165181658415
103000036,DESKER ROAD,E,2,10,19,103.85444503278327,1.3095165181658415,103.85396567774879,1.3098257335080767
