,Station Code,Station Name,Date&Time,Detail
0,NS4,Choa Chu Kang,13/03/2022 2330 - 2359,Lift TRL01 at Choa Chu Kang LRT Station serving Concourse to Platform
1,NS4,Choa Chu Kang,14/03/2022 0000 - 0600,Lift TRL01 at Choa Chu Kang LRT Station serving Concourse to Platform
2,NS8,Marsiling,11/01/2022 1300 - 1400,Lift 1 at Marsiling Station serving Concourse to Platform
3,NS9,Woodlands,7/9/2021 1000 - 2000,Lift PL01 at Woodlands Station serving Platform to Concourse
4,NS11,Sembawang,11/01/2022 1430 - 1530,Lift 1 at Sembawang Station serving Concourse to Platform
5,NS16,Ang Mo Kio,12/01/2022 1000 - 1100,Lift 2 at Ang Mo Kio Station serving Concourse to Platform
6,NS17,Bishan ,09/11/2021 1000 - 2000,Lift B2L01 at Bishan Station Exit D
7,NS19,Toa Payoh,12/01/2022 1130 - 1230,Lift 2 at Toa Payoh Station serving Concourse to Platform
8,NS20,Novena,9/9/2021 1000 - 2000,Lift PL01 at Novena Station serving Concourse to Street
9,NS21,Somerset ,01/10/2021 1000 - 2000,Lift PL01 at Paya Lebar Station serving Platform to Concourse
10,NS21,Somerset ,05/10/2021 1000 - 2000,Lift PL01 at Bukit Batok Station Exit D
11,NS23,Somerset ,28/02/2022 1000 - 2359,Lift PL03 at Somerset Station serving Concourse to Platform
12,NS23,Somerset ,01/03/2022 0000 - 2359,Lift PL03 at Somerset Station serving Concourse to Platform
13,NS23,Somerset ,02/03/2022 0000 - 2359,Lift PL03 at Somerset Station serving Concourse to Platform
14,NS23,Somerset ,03/03/2022 0000 - 1700,Lift PL03 at Somerset Station serving Concourse to Platform
15,NS24,Dhoby Ghaut,06/01/2022 1300 - 1400,Lift PL01 at Dhoby Ghaut Station serving Platform to Concourse
16,NS25,City Hall,10/12/2021 1000 - 2000,Lift at PL01 at City Hall Station serving Concourse to Exit A
17,EW1,Pasir Ris,12/10/2021 1000 - 2000,Lift PL01 at Pasir Ris Station serving Platform to Concourse
18,EW5,Bedok,09/03/2022 1000 - 2359,Lift PL03 at Bedok Station serving Concourse to Platform
19,EW5,Bedok,10/03/2022 0000 - 0030,Lift PL03 at Bedok Station serving Concourse to Platform
20,EW7,Eunos,21/08/2021 1800 - 2359,Lift 1 at Eunos Station is Serving Concourse to Platform
21,EW7,Eunos,22/08/2021 0000 - 0500,Lift 1 at Eunos Station is Serving Concourse to Platform
22,EW8,Paya Lebar,14/03/2022 1000 - 1700,Lift B2L02 at Paya Lebar Station serving Concourse to Platform
23,EW10,Kallang,05/01/2022 1510 - 1610,Lift PL01 at Kallang Station serving Concourse to Platform
24,EW11,Lavender,05/01/2022 1620 - 1720,Lift PL01 at Lavender Station Exit A
25,EW12,Bugis,06/01/2022 1040 - 1140,Lift PL01 at Bugis Station serving Platform to Concourse
26,EW13,City Hall,10/12/2021 1000 - 2000,Lift at PL01 at City Hall Station serving Concourse to Exit A
27,EW16,Outram,06/01/2022 1430 - 1530,Lift PL01 at Outram Station Exit C & D (Linkway to NEL)
28,EW19,Queenstown,10/01/2022 1400 - 1500,Lift PL04 at Queenstown Station Exit C
29,EW20,Commonwealth,10/01/2022 1110 - 1210,Lift PL04 at Commonwealth Station Exit C
