Type,Latitude,Longitude,Message
Vehicle breakdown,1.3695474021598424,103.71947043158356,(16/3)17:02 Vehicle breakdown on KJE (towards PIE) before PIE(Changi) Exit.
Roadwork,1.3740862607620319,103.76274394703502,(16/3)16:54 Roadworks on Upper Bukit Timah Road (towards City) after Bukit Panjang Road. Avoid right lane.
Vehicle breakdown,1.343294496935964,103.74584777586058,(16/3)16:51 Vehicle breakdown on PIE (towards Changi Airport) after Toh Guan Rd Exit. Avoid lane 3.
Heavy Traffic,1.4373431186261074,103.76846043057232,(16/3)16:41 Heavy Traffic on BKE (towards Woodlands) at Woodlands Checkpoint Exit.
Heavy Traffic,1.3445460996430973,103.86018141043134,(16/3)16:40 Heavy Traffic on CTE (towards AYE) at PIE(Changi) Exit.
Roadwork,1.325373320338729,103.80912178563472,(16/3)16:37 Roadworks on Dunearn Road (towards City) after Hillcrest Road. Avoid left lane.
Roadwork,1.3650332640596554,103.77741504220404,(16/3)16:32 Roadworks on Dairy Farm Road (towards BKE) after Petir Road. Avoid left lane.
Roadwork,1.4006986602808114,103.87113153505457,(16/3)16:20 Roadworks on TPE (towards SLE) at Jalan Kayu Entrance.
Roadwork,1.3869955720862561,103.77464270131604,(16/3)16:09 Roadworks on BKE (towards Woodlands) at KJE(PIE) Exit.
Roadwork,1.3014623520280508,103.84999342752208,(16/3)16:04 Roadworks on Selegie Road (towards Middle Road) after Prinsep Street.
Roadwork,1.3023207235638143,103.85647364647957,(16/3)16:03 Roadworks on Ophir Road (towards Victoria Street) after Queen Street. Avoid left lane.
Heavy Traffic,1.329897165993549,103.86350161186421,(16/3)16:03 Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit.
Roadwork,1.311773727760794,103.94520676988634,(16/3)15:58 Roadworks on ECP (towards Changi Airport) after Bayshore Rd Exit. Avoid lane 3.
Roadwork,1.3422384483654521,103.77564683937203,(16/3)15:55 Roadworks on Upper Bukit Timah Road (towards Chun Tin Road) after Jalan Anak Bukit. Avoid left lane.
Roadwork,1.3556920526671425,103.87229061224232,(16/3)15:44 Roadworks on Boundary Road (towards Serangoon Avenue 4) after Serangoon Central.
Roadwork,1.3053555904733123,103.82415411958088,(16/3)15:40 Roadworks on Tanglin Road (towards Ellis Road) after Nassim Hill. Avoid right lane.
Roadwork,1.3327565092796494,103.76986674736335,(16/3)15:34 Roadworks on PIE (towards Tuas) before Clementi Ave 6 Exit. Avoid lane 1.
Roadwork,1.3302412917228925,103.86225216534504,(16/3)15:28 Roadworks on PIE (towards Tuas) at CTE(SLE) Exit.
Roadwork,1.3633721338858606,103.95843743623364,(16/3)15:17 Roadworks on TPE (towards PIE) at Loyang Ave Exit.
Roadwork,1.314243573257145,103.8457746396213,(16/3)15:15 Roadworks on Norfolk Road (towards Keng Lee Road) after Thomson Road. Avoid right lane.
Roadwork,1.3367841383151,103.7063397400864,(16/3)15:11 Roadworks on Boon Lay Way (towards Tuas) after Jalan Boon Lay. Avoid right lane.
Roadwork,1.289178609172704,103.83503245677912,(16/3)15:10 Roadworks on Outram Road towards Havelock Road. Avoid left lane.
Roadwork,1.3559350225879416,103.96318493435292,(16/3)14:42 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lane 4.
Roadwork,1.3606889484271296,103.96078675721053,(16/3)14:42 Roadworks on TPE (towards SLE) after Tampines Ave 7 Exit. Avoid lane 3.
Roadwork,1.3239966940586037,103.87250853192108,(16/3)14:40 Roadworks on PIE (towards Changi Airport) before Kallang Way. Avoid lane 1.
Roadwork,1.3556375438828756,103.71903294523037,(16/3)14:38 Roadworks on PIE (towards Tuas) before Jurong West Ave 2. Avoid lane 2.
Roadwork,1.328374349011775,103.91099980730561,(16/3)14:37 Roadworks on PIE (towards Changi Airport) after Jalan Eunos.
Roadwork,1.4231760467346326,103.77326371152134,(16/3)14:37 Roadworks on SLE (towards CTE) after BKE Entrance. Avoid lane 3.
Roadwork,1.345580226270365,103.68993034336737,(16/3)14:34 Roadworks on PIE (towards Tuas) before Pioneer Rd North. Avoid lanes 3 and 4.
Roadwork,1.3770513286431478,103.73047676792963,(16/3)14:34 Roadworks on KJE (towards PIE) after Sungei Tengah Exit. Avoid lane 4.
Roadwork,1.3553689815112444,103.72343744542499,(16/3)14:12 Roadworks on PIE (towards Changi Airport) before Jurong Town Hall Rd. Avoid lane 1.
Roadwork,1.307409721208537,103.91768272823884,(16/3)13:54 Roadworks on Marine Parade Road (towards Marine Vista) after Marine Terrace. Avoid right lane.
Roadwork,1.3512817918631284,103.70283945468793,(16/3)13:51 Roadworks on Jalan Bahar (towards Jurong West Avenue 5) after PIE.
Roadwork,1.3011414644591732,103.85485734134186,(16/3)12:03 Roadworks on Queen Street (towards Albert Street) after Rochor Road. Avoid right lane.
Roadwork,1.3025055197286166,103.834055647426,(16/3)11:39 Roadworks on Orchard Turn (towards Orchard Link) after Orchard Boulevard. Avoid right lane.
Roadwork,1.347422362733555,103.70485656762547,(16/3)11:15 Roadworks on Jalan Bahar near Jalan Bahar/Jurong West Avenue 4 Junction.
Roadwork,1.3145435227786484,103.87954097496457,(16/3)11:02 Roadworks on Sims Avenue (toward Changi) after KPE.
Roadwork,1.314651681008414,103.69785228619845,(16/3)10:58 Roadworks on Jalan Buroh (towards Tuas) after Jurong Pier Road. Avoid right lane.
Roadwork,1.335365217835511,103.78569745330473,(16/3)10:52 Roadworks on Dunearn Road (towards City) after Jalan Anak Bukit. Avoid right lane.
Roadwork,1.3234523972548362,103.92775568753784,(16/3)10:51 Roadworks on New Upper Changi Road (toward City) after Bedok South Avenue 1. Avoid left lane.
Roadwork,1.3260754867419036,103.75634726187337,(16/3)10:31 Roadworks on Boon Lay Way (towards Tuas) after Jalan Lempeng. Avoid left lane.
Roadwork,1.3253829589404234,103.9409954129905,(16/3)10:28 Roadworks on New Upper Changi Road (toward Changi) after Bedok North Road. Avoid right lane.
Roadwork,1.3273147243312027,103.7761070582433,(16/3)10:26 Roadworks on Clementi Road (towards Maju Drive). Avoid left lane.
Roadwork,1.3184421050063602,103.95194429398788,(16/3)10:25 Roadworks on Upper East Coast Road (towards City) after Eastwood Road. Avoid right lane.
Roadwork,1.3178915552081025,103.74860650154314,(16/3)10:25 Roadworks on West Coast Road (towards Pandan Gardens) after West Coast Highway. Avoid left lane.
Roadwork,1.318477714989128,103.95183531058522,(16/3)10:24 Roadworks on Upper East Coast Road (towards Changi) after Bedok South Road. Avoid right lane.
Roadwork,1.3491360275850928,103.87336976213803,(16/3)10:24 Roadworks on Upper Serangoon Road (towards City) after Serangoon Central.
Roadwork,1.3156690552958614,103.84487448770706,(16/3)10:15 Roadworks on Thomson Road (towards SLE) after Kampong Java Road. Avoid left lane.
Roadwork,1.3016359730876212,103.83342334963072,(16/3)10:14 Roadworks on Orchard Boulevard (towards Orchard Turn) after Grange Road. Avoid right lane.
